Date,Confirmed,Deaths,Tested,PCR%,Antibody%,Antibody Tests
11/6/20,14155,728,567186,,,89673
11/8/20,15021,728,567186,,,89673
11/10/20,15280,728,600440,,,90076
11/11/20,15698,736,600440,,,90076
11/12/20,16660,736,600440,2.5,7,90076
11/13/20,17105,740,600440,2.50%,7.00%,90076
11/14/20,17540,740,600440,2.50%,7.00%,90076
11/15/20,17869,746,643280,2.80%,7.10%,90679
11/16/20,17869,746,643280,2.80%,7.10%,90679
11/17/20,18625,746,643280,2.80%,7.10%,90679
11/18/20,19151,758,643280,7,2.8,90679
11/19/20,19785,762,643280,7,2.8,90679
11/20/20,20261,762,643280,7,2.8,90679
11/21/20,20889,762,643280,7,2.8,90679
11/22/20,20889,762,643280,7,2.8,90679
11/23/20,21680,771,689966,3.1,7.1,91254
11/24/20,22302,771,689966,3.1,7.1,91254
11/25/20,22279,771,704353,3.2,7.1,91254
11/26/20,23491,771,704353,3.2,7.1,91254
11/27/20,24092,795,704353,3.2,7.1,91254
11/28/20,24543,795,704353,3.2,7.1,91254
11/29/20,25021,795,704353,3.2,7.1,91254
11/30/20,25471,803,744015,3.4,7.3,92220
12/1/2020,26159,803,744015,3.4,7.3,92220
12/2/2020,26679,869,744015,3.4,7.3,92220
12/3/2020,27428,869,744015,3.4,7.3,92220
12/4/2020,28108,869,744015,3.4,7.3,92220
12/5/2020,28765,869,744015,3.4,7.3,92220
12/6/2020,29265,902,744015,3.4,7.3,92220
12/7/2020,29331,902,800308,3.7,7.4,92988
12/9/2020,30081,902,800308,3.7,7.4,92988
