Name,Population,Sq Mi,X,Y,Zip Code,Total Cases,Daily Cases,GF
Akron,9549,59.61,43.0414,-78.4963,14001,160,0.0,0.0
Alden,12851,46.68,42.894667999999996,-78.4833,14004,280,0.0,0.0
Angola,10113,28.86,42.6361,-79.02794,14006,192,0.0,0.0
Basom,1923,41.17,43.0811,-78.4012,14013,0,0.0,0.0
Boston,3060,23.54,42.6214,-78.7217,14025,81,0.0,0.0
Bowmansville,910,0.79,42.9441,-78.6867,14026,22,0.0,0.0
Chaffee,1867,20.9,42.5737,-78.507,14030,19,0.0,0.0
Clarence,10145,20.83,42.993,-78.607,14031,270,0.0,0.0
Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,247,0.0,0.0
Colden,2396,19.96,42.6521,-78.6869,14033,31,0.0,1.3943019312988352
Collins,1922,26.0,42.49089,-78.8573,14034,27,0.0,1.5836067441330597
Cowlesville,1081,17.91,42.8054,-78.4507,14037,1,0.0,1.3836067441330597
Depew,25714,9.15,42.89925,-78.70735,14043,624,0.0,0.0
Derby,6463,12.32,42.69266,-78.9934,14047,157,0.0,0.0
East Amherst,20690,16.19,43.0442,-78.695,14051,521,0.0,0.0
East Aurora,17482,62.71,42.775,-78.5753,14052,574,0.0,0.0
East Concord,1312,29.7,42.5468,-78.5954,14055,18,0.0,0.0
Eden,7934,48.1,42.652283000000004,-78.89698,14057,279,0.0,1.7735844877762172
Elma,9381,26.72,42.8255,-78.62666,14059,257,0.0,1.940813118358885
Getzville,8374,3.8,43.0269,-78.762,14068,357,0.0,1.5343353855653628
Glenwood,678,5.42,42.6057,-78.6191,14069,15,0.0,1.385327449057426
Gowanda,7706,44.41,42.44377,-78.90769,14070,67,0.0,1.8148011332679528
Grand Island,20809,33.26,43.0119,-78.9559,14072,594,0.0,1.6433725618393815
Hamburg,43111,38.97,42.716,-78.82434,14075,1486,0.0,1.8230827067669177
Holland,4460,50.61,42.6405,-78.5435,14080,83,0.0,1.6878354978354984
Irving,3204,40.63,42.4617,-79.027,14081,57,0.0,1.8271212121212126
