,Name,Population,Sq Mi,X,Y,Zip Code,Date,Average Daily
0,Akron,9549,59.61,43.0414,-78.4963,14001,6/9/20,0.0
1,Alden,12851,46.68,42.894667999999996,-78.4833,14004,6/9/20,0.0
2,Angola,10113,28.86,42.6361,-79.02794,14006,6/9/20,0.0
3,Basom,1923,41.17,43.0811,-78.4012,14013,6/9/20,0.0
4,Boston,3060,23.54,42.6214,-78.7217,14025,6/9/20,0.0
5,Bowmansville,910,0.79,42.9441,-78.6867,14026,6/9/20,0.0
6,Chaffee,1867,20.9,42.5737,-78.507,14030,6/9/20,0.0
7,Clarence,10145,20.83,42.993,-78.607,14031,6/9/20,0.0
8,Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,6/9/20,0.0
9,Colden,2396,19.96,42.6521,-78.6869,14033,6/9/20,0.0
10,Collins,1922,26.0,42.49089,-78.8573,14034,6/9/20,0.0
11,Cowlesville,1081,17.91,42.8054,-78.4507,14037,6/9/20,0.0
12,Depew,25714,9.15,42.89925,-78.70735,14043,6/9/20,0.0
13,Derby,6463,12.32,42.69266,-78.9934,14047,6/9/20,0.0
14,East Amherst,20690,16.19,43.0442,-78.695,14051,6/9/20,0.0
15,East Aurora,17482,62.71,42.775,-78.5753,14052,6/9/20,0.0
16,East Concord,1312,29.7,42.5468,-78.5954,14055,6/9/20,0.0
17,Eden,7934,48.1,42.652283000000004,-78.89698,14057,6/9/20,0.0
18,Elma,9381,26.72,42.8255,-78.62666,14059,6/9/20,0.0
19,Getzville,8374,3.8,43.0269,-78.762,14068,6/9/20,0.0
20,Glenwood,678,5.42,42.6057,-78.6191,14069,6/9/20,0.0
21,Gowanda,7706,44.41,42.44377,-78.90769,14070,6/9/20,0.0
22,Grand Island,20809,33.26,43.0119,-78.9559,14072,6/9/20,0.0
23,Hamburg,43111,38.97,42.716,-78.82434,14075,6/9/20,0.0
24,Holland,4460,50.61,42.6405,-78.5435,14080,6/9/20,0.0
25,Irving,3204,40.63,42.4617,-79.027,14081,6/9/20,0.0
26,Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,6/9/20,0.0
27,Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,6/9/20,0.0
28,Lawtons,1086,22.21,42.5386,-78.9061,14091,6/9/20,0.0
29,Marilla,1244,4.86,42.8368,-78.5573,14102,6/9/20,0.0
30,North Collins,3482,32.93,42.581,-78.8707,14111,6/9/20,0.0
