Name,Population,Sq Mi,X,Y,Zip Code,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/2020,11/24/2020
Akron,9549,59.61,43.0414,-78.4963,14001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.5,0.6,0.6,0.6,1.5,1.5,1.1,1.7,1.7,1.7,1.5,1.4,2.1,2.1,1.2,1.2,1.2,0.7,0.7,0.7,1.7,1.7
Alden,12851,46.68,42.894667999999996,-78.4833,14004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,0.3,0.3,0.5,0.5,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.6,0.5,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.6,0.7,0.7,0.5,0.5,1.3,1.3,1.1,2.0,2.0,2.0,1.8,1.7,3.1,3.1,2.3,2.3,2.3,1.4,1.4,1.4,3.0,3.0
Angola,10113,28.86,42.6361,-79.02794,14006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,0.8,0.8,1.0,1.1,1.1,1.0,1.0,1.1,1.1,0.7,0.5,0.5,0.3,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.4,0.8,0.9,1.0,1.1,1.1,0.9,0.9,0.9,1.3,1.3,0.9,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.3,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.6,0.6,1.2,1.2,1.0,2.6,2.6,2.6,2.4,2.3,5.5,5.5,4.8,4.8,4.8,3.2,3.2,3.2,5.3,5.3
Basom,1923,41.17,43.0811,-78.4012,14013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston,3060,23.54,42.6214,-78.7217,14025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,1.4,1.4,1.3,1.3,1.3,1.1,1.1,1.1,2.2,2.2
Bowmansville,910,0.79,42.9441,-78.6867,14026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.1,0.1,0.1,0.3,0.3
Chaffee,1867,20.9,42.5737,-78.507,14030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.4,0.4
Clarence,10145,20.83,42.993,-78.607,14031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.8,1.0,0.8,0.8,0.9,0.9,1.1,1.0,0.6,0.7,0.7,0.5,0.7,0.7,0.6,1.1,1.3,1.4,1.4,2.2,2.2,1.9,3.8,3.8,3.8,3.3,2.9,4.1,4.1,3.1,3.1,3.1,1.2,1.2,1.2,3.8,3.8
Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.3,0.5,1.0,1.0,1.0,1.0,1.4,1.4,1.2,1.4,1.4,1.2,0.8,0.8,0.8,1.0,0.7,1.0,1.2,1.0,1.3,1.3,1.2,1.2,1.2,1.0,1.2,1.6,1.4,1.4,1.6,1.6,1.6,2.5,2.5,2.5,2.2,1.5,3.3,3.3,2.7,2.7,2.7,1.8,1.8,1.8,4.4,4.4
Colden,2396,19.96,42.6521,-78.6869,14033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.7,0.7,0.5,0.5,0.5,0.4,0.4,0.4,1.0,1.0
