Name,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/9/2020,1/6/2021,1/8/2021,1/10/2021,1/11/2021,1/12/2021,1/14/2021,1/15/2021,1/21,1/23,1/24,1/25,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/4/2021,2/6/2021,2/7/2021,2/9/2021,2/11/2021,2/16/2021,2/17/2021,2/22/2021,2/24/2021,3/2/2021,4/12/2021,4/14/2021,4/18/2021,5/9/2021,5/11/2021,5/15/2021,5/26/2021,9/3/2021,12/31/2021,1/3/2021,1/6/2022,1/10/2022,1/13/2022,1/18/2022,1/19/2022,1/21/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/31/2022,2/2/2022,2/4/2022,2/7/2022,2/10/2022,2/11/2022,2/16/2022,2/19/2022,2/25/2022,3/10/2022,3/14/2022,3/22/2022,4/7/2022,4/14/2022,5/9/2022,5/26/2022,5/31/2022,12/5/2022
Akron,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,4,-1,0,0,2,1,0,0,9,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,10,0,8,0,0,0,0,16,0,0,0,0,0,0,51,0,151,0,0,48,0,0,0,45,0,0,22,0,0,0,25,0,0,0,11,0,13,0,0,18,21,74,27,0,49,8,0,10,53,542,0,112,0,0,0,240,0,0,0,0,62,0,0,75,0,0,24,0,0,0,28,9,0,7,2,16,83,85,0,243
Alden,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,1,2,0,0,0,2,0,0,0,2,1,0,0,8,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,16,0,16,0,0,0,0,37,0,0,0,0,0,0,86,0,281,0,0,88,0,0,0,61,0,0,41,0,0,0,45,0,0,0,14,0,16,0,0,21,24,124,33,0,68,7,0,17,61,686,0,123,0,0,0,375,0,0,0,0,90,0,0,85,0,0,38,0,0,0,21,16,0,2,3,12,100,140,0,346
Angola,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,4,2,1,1,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,0,2,1,0,0,7,0,0,16,0,0,0,0,32,0,0,0,0,0,0,0,21,0,4,0,0,0,0,17,0,0,0,0,0,0,33,0,119,0,0,53,0,0,0,48,0,0,23,0,0,0,27,0,0,0,22,0,19,0,0,19,13,137,24,0,37,9,0,14,36,532,0,106,0,0,0,229,0,0,0,0,137,0,0,84,0,0,53,0,0,0,34,12,0,10,7,18,85,107,0,383
Basom,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,11,0,3,0,0,0,0,11,0,0,0,0,0,0,23,0,31,0,0,6,0,0,0,10,0,0,8,0,0,0,8,0,0,0,10,0,12,0,0,9,3,37,6,0,17,1,0,0,24,193,0,27,0,0,0,100,0,0,0,0,14,0,0,7,0,0,6,0,0,0,13,1,0,3,3,8,29,42,0,107
Bowmansville,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,10,0,0,4,0,0,0,4,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,1,16,5,0,2,0,0,1,8,32,0,12,0,0,0,26,0,0,0,0,8,0,0,5,0,0,14,0,0,0,2,0,0,1,0,2,14,9,0,30
Chaffee,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0,31,0,0,7,0,0,0,6,0,0,5,0,0,0,4,0,0,0,4,0,3,0,0,0,2,21,2,0,12,0,0,1,8,65,0,16,0,0,0,38,0,0,0,0,9,0,0,10,0,0,7,0,0,0,11,5,0,1,0,2,12,8,0,31
Clarence,0.0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,4,1,0,5,-2,0,1,0,2,-1,0,2,0,3,0,0,0,5,4,0,0,10,0,0,19,0,0,0,0,12,0,0,0,0,0,0,0,26,0,8,0,0,0,0,38,0,0,0,0,0,0,38,0,199,0,0,51,0,0,0,38,0,0,23,0,0,0,38,0,0,0,24,0,6,0,0,16,18,124,40,0,46,6,0,8,53,477,0,115,0,0,0,309,0,0,0,0,61,0,0,83,0,0,40,0,0,0,39,16,0,9,5,27,130,143,0,444
Clarence Center (North),0.0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,1,0,1,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,2,5,0,0,0,4,0,0,2,1,0,1,0,0,2,1,3,2,0,4,0,0,0,0,0,3,7,0,0,6,0,0,9,0,0,0,0,18,0,0,0,0,0,0,0,26,0,11,0,0,0,0,25,0,0,0,0,0,0,59,0,130,0,0,48,0,0,0,45,0,0,26,0,0,0,18,0,0,0,30,0,11,0,0,8,21,74,47,0,72,8,0,4,64,443,0,136,0,0,0,337,0,0,0,0,52,0,0,70,0,0,20,0,0,0,18,11,0,9,6,21,88,104,0,259
Colden,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,10,0,36,0,0,5,0,0,0,13,0,0,9,0,0,0,5,0,0,0,6,0,1,0,0,5,6,20,5,0,8,2,0,2,6,132,0,30,0,0,0,80,0,0,0,0,24,0,0,14,0,0,12,0,0,0,5,3,0,3,1,6,17,26,0,55
