Date,Confirmed,Deaths,Tested,PCR%,Antibody%,Antibody Tests
11/6/20,14155,728,567186,,,89673
11/8/20,15021,728,567186,,,89673
11/10/20,15280,728,600440,,,90076
11/11/20,15698,736,600440,,,90076
11/12/20,16660,736,600440,2.5,7,90076
11/13/20,17105,740,600440,2.50%,7.00%,90076
11/14/20,17540,740,600440,2.50%,7.00%,90076
11/15/20,17869,746,643280,2.80%,7.10%,90679
11/16/20,17869,746,643280,2.80%,7.10%,90679
11/17/20,18625,746,643280,2.80%,7.10%,90679
11/18/20,19151,758,643280,7,2.8,90679
11/19/20,19785,762,643280,7,2.8,90679
11/20/20,20261,762,643280,7,2.8,90679
11/21/20,20889,762,643280,7,2.8,90679
11/22/20,20889,762,643280,7,2.8,90679
11/23/2020,21680,771,689966,3.1,7.1,91254
11/24/2020,22302,771,689966,3.1,7.1,91254
11/25/2020,22279,771,704353,3.2,7.1,91254
