Name,Population,Sq Mi,X,Y,Zip Code,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,7/6/20,7/7/20,7/9/20,7/10/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/23/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/12/20,8/13/20,8/14/20,8/16/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/26/20,8/28/20,8/31/20,9/2/20,9/3/20,9/6/20,9/7/20,9/8/20,9/9/20,9/13/20,9/15/20,9/16/20,9/18/20,9/21/20,9/23/20,9/24/20,9/29/20,10/5/20,10/6/20,10/7/20,10/11/20,10/12/20,10/13/20,10/19/20,10/21/20,10/22/20,10/23/20,10/26/20,10/28/20,10/29/20,10/30/20,11/4/20,11/6/20,11/8/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/9/2020,1/6/2021,1/8/2021,1/10/2021,1/11/2021,1/12/2021,1/14/2021,1/15/2021,1/21,1/23,1/24,1/25,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/4/2021,2/6/2021,2/7/2021,2/9/2021,2/11/2021,2/16/2021,2/17/2021,2/22/2021,2/24/2021,3/2/2021,4/12/2021,4/14/2021,4/18/2021,5/9/2021,5/11/2021,5/15/2021,5/26/2021,9/3/2021,12/31/2021,1/3/2021,1/6/2022,1/10/2022,1/13/2022,1/18/2022,1/19/2022,1/21/2022,1/24/2022,1/25/2022,1/26/2022,1/27/2022,1/28/2022,1/31/2022,2/2/2022,2/4/2022,2/7/2022,2/10/2022,2/11/2022,2/16/2022,2/19/2022,2/25/2022,3/10/2022,3/14/2022,3/22/2022,4/7/2022,4/14/2022,5/9/2022,5/26/2022,5/31/2022,12/5/2022
Akron,9549,59.61,43.0414,-78.4963,14001,34,35,36,37,37,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,41,41,41,41,41,41,41,41,41,42,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,45,47,47,47,48,48,48,48,48,48,52,51,51,51,53,54,54,54,63,63,63,68,68,68,68,68,75,75,75,75,75,75,75,75,85,85,93,93,93,93,93,109,109,109,109,109,109,109,160,160,311,311,311,359,359,359,359,404,404,404,426,426,426,426,451,451,451,451,462,462,475,475,475,493,514,588,615,615,664,672,672,682,735,1277,1277,1389,1389,1389,1389,1629,1629,1629,1629,1629,1691,1691,1691,1766,1766,1766,1790,1790,1790,1790,1818,1827,1827,1834,1836,1852,1935,2020,2020,2263
Alden,12851,46.68,42.894668,-78.4833,14004,61,61,61,61,61,61,61,61,61,61,61,64,64,64,64,65,65,66,66,67,69,69,69,69,69,70,70,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,73,75,76,76,76,76,76,77,78,78,79,79,79,79,79,81,81,81,81,81,81,82,82,82,85,86,87,89,89,89,89,91,91,91,91,93,94,94,94,102,102,102,111,111,111,111,111,125,125,125,125,125,125,125,125,141,141,157,157,157,157,157,194,194,194,194,194,194,194,280,280,561,561,561,649,649,649,649,710,710,710,751,751,751,751,796,796,796,796,810,810,826,826,826,847,871,995,1028,1028,1096,1103,1103,1120,1181,1867,1867,1990,1990,1990,1990,2365,2365,2365,2365,2365,2455,2455,2455,2540,2540,2540,2578,2578,2578,2578,2599,2615,2615,2617,2620,2632,2732,2872,2872,3218
Angola,10113,28.86,42.6361,-79.02794,14006,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,19,19,23,25,25,27,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,34,34,35,35,35,36,38,38,38,38,38,42,44,45,46,47,47,47,47,51,51,51,52,52,52,54,54,54,54,54,56,56,56,57,57,59,59,59,59,61,62,62,62,69,69,69,85,85,85,85,85,117,117,117,117,117,117,117,117,138,138,142,142,142,142,142,159,159,159,159,159,159,159,192,192,311,311,311,364,364,364,364,412,412,412,435,435,435,435,462,462,462,462,484,484,503,503,503,522,535,672,696,696,733,742,742,756,792,1324,1324,1430,1430,1430,1430,1659,1659,1659,1659,1659,1796,1796,1796,1880,1880,1880,1933,1933,1933,1933,1967,1979,1979,1989,1996,2014,2099,2206,2206,2589
Basom,1923,41.17,43.0811,-78.4012,14013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Boston,3060,23.54,42.6214,-78.7217,14025,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,22,22,22,22,22,33,33,33,33,33,33,33,33,44,44,47,47,47,47,47,58,58,58,58,58,58,58,81,81,112,112,112,118,118,118,118,128,128,128,136,136,136,136,144,144,144,144,154,154,166,166,166,175,178,215,221,221,238,239,239,239,263,456,456,483,483,483,483,583,583,583,583,583,597,597,597,604,604,604,610,610,610,610,623,624,624,627,630,638,667,709,709,816
Bowmansville,910,0.79,42.9441,-78.6867,14026,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,11,11,11,11,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,15,15,15,15,15,15,15,22,22,32,32,32,36,36,36,36,40,40,40,41,41,41,41,45,45,45,45,47,47,47,47,47,47,48,64,69,69,71,71,71,72,80,112,112,124,124,124,124,150,150,150,150,150,158,158,158,163,163,163,177,177,177,177,179,179,179,180,180,182,196,205,205,235
Chaffee,1867,20.9,42.5737,-78.507,14030,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,8,8,11,11,11,11,11,13,13,13,13,13,13,13,19,19,50,50,50,57,57,57,57,63,63,63,68,68,68,68,72,72,72,72,76,76,79,79,79,79,81,102,104,104,116,116,116,117,125,190,190,206,206,206,206,244,244,244,244,244,253,253,253,263,263,263,270,270,270,270,281,286,286,287,287,289,301,309,309,340
Clarence,10145,20.83,42.993,-78.607,14031,76,76,76,78,78,78,78,78,78,79,79,79,79,80,80,80,80,81,82,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,86,86,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,90,91,92,95,95,95,95,95,95,95,99,100,100,105,103,103,104,104,106,105,105,107,107,110,110,110,110,115,119,119,119,129,129,129,148,148,148,148,148,160,160,160,160,160,160,160,160,186,186,194,194,194,194,194,232,232,232,232,232,232,232,270,270,469,469,469,520,520,520,520,558,558,558,581,581,581,581,619,619,619,619,643,643,649,649,649,665,683,807,847,847,893,899,899,907,960,1437,1437,1552,1552,1552,1552,1861,1861,1861,1861,1861,1922,1922,1922,2005,2005,2005,2045,2045,2045,2045,2084,2100,2100,2109,2114,2141,2271,2414,2414,2858
Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,35,35,35,35,35,35,35,35,35,35,35,40,40,41,42,42,42,43,43,44,44,45,45,47,47,47,48,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,53,53,53,53,53,53,53,53,53,53,53,55,55,56,58,63,63,63,63,67,67,67,69,70,70,71,71,71,73,74,77,79,79,83,83,83,83,83,83,86,93,93,93,99,99,99,108,108,108,108,108,126,126,126,126,126,126,126,126,152,152,163,163,163,163,163,188,188,188,188,188,188,188,247,247,377,377,377,425,425,425,425,470,470,470,496,496,496,496,514,514,514,514,544,544,555,555,555,563,584,658,705,705,777,785,785,789,853,1296,1296,1432,1432,1432,1432,1769,1769,1769,1769,1769,1821,1821,1821,1891,1891,1891,1911,1911,1911,1911,1929,1940,1940,1949,1955,1976,2064,2168,2168,2427
Colden,2396,19.96,42.6521,-78.6869,14033,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,8,8,12,12,12,12,12,12,12,12,18,18,20,20,20,20,20,21,21,21,21,21,21,21,31,31,67,67,67,72,72,72,72,85,85,85,94,94,94,94,99,99,99,99,105,105,106,106,106,111,117,137,142,142,150,152,152,154,160,292,292,322,322,322,322,402,402,402,402,402,426,426,426,440,440,440,452,452,452,452,457,460,460,463,464,470,487,513,513,568
